region,n_municipalities,n_meters,n_evs,penetration_pct,weighted_mean_prob
Hovedstaden,29,763217,24903,3.26,0.2195
Sjælland,17,340701,17057,5.01,0.3357
Syddanmark,22,502244,23812,4.74,0.3308
Midtjylland,19,536192,30626,5.71,0.339
Nordjylland,11,252436,11448,4.54,0.3187
